SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	ORGANISM NAME	STRAIN	SEROVAR/BIOVAR	COMMON NAME	NCBI PROJECT NAME	CULTURE COLLECTION	TYPE STRAIN	GOLDSTAMP	OLD GOLDSTAMP	PROJECT TYPE	PROJECT STATUS	AVAILABILITY	SEQUENCING CENTERS	FUNDING	CONTACT NAME	CONTACT EMAIL	CONTACT URL	LOCUS TAG	COMPLETION DATE	PUBLICATION	PROJECT RELEVANCE	NCBI TAXON ID	NCBI PROJECT ID	NCBI ARCHIVE ID	SHORT READS ARCHIVE ID	GCAT_ID	HMP ID	HOMD ID	STRAININFO ID	GREENGENES OBJECT ID	IMG OBJECT ID	GENOME DATA	SEQUENCING STATUS	SEQUENCING QUALITY	COMMENTS	LIBRARY METHOD	READS COUNT	VECTOR	ASSEMBLY METHOD	SEQUENCING DEPTH	GENE CALLING METHOD	CONTIG COUNT	SIZE(kb)	ORFS	CHROMOSOME COUNT	PLASMID COUNT	GC Content	SEQUENCING METHOD	SEQUENCING COUNTRY	ISOLATION SITE	ISOLATION SOURCE	ISOLATION COMMENTS	COLLECTION DATE	ISOLATION COUNTRY	ISOLATION PUBMED ID	GEOGRAPHIC LOCATION	LATITUDE	LONGITUDE	ALTITUDE	DEPTH	HOST NAME	HOST TAXON ID	HOST GENDER	HOST AGE	HOST RACE	HOST HEALTH	HOST MEDICATION	HOST SPECIFICITY	BODY SAMPLE SITE	BODY PRODUCT	BODY SAMPLE SUBSITE	HOST COMMENTS	OXYGEN REQUIREMENT	CELL SHAPE	SPORULATION	PRESSURE	TEMPERATURE RANGE	SALINITY	PH	CELL DIAMETER	CELL LENGTH	COLOR	GRAM STAINING	BIOTIC RELATIONSHIPS	SYMBIOTIC INTERACTION	SYMBIOTIC RELATIONSHIP	SYMBIONT NAME	SYMBIONT TAXON ID	CELL ARRANGEMENT	DISEASE	HABITAT	TEMPERATURE	METABOLISM	MOTILITY	PHENOTYPE	ENERGY SOURCE
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	NA	BACTERIAL	Propionibacterium acnes  B9.2	B9.2	NA		Propionibacterium acnes	NA	No	Gi05281	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Human Microbiome Project (HMP), Medical	1747	NA		NA	006257_GCAT	9338	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human skin	Huiying Li	NA		NA		Human skin	NA		NA		Homo sapiens	NA		NA		NA		NA	Skin	NA		NA	Anaerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Acne	Human skin, Host	NA		Nonmotile	NA	
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	NA	BACTERIAL	Propionibacterium acnes  B69.8	B69.8	NA		Propionibacterium acnes	NA	No	Gi05282	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Medical, Human Microbiome Project (HMP)	1747	NA		NA	006258_GCAT	9339	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human skin	Huiying Li	NA		NA		Human skin	NA		NA		Homo sapiens	NA		NA		NA		NA	Skin	NA		NA	Anaerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Acne	Human skin, Host	NA		Nonmotile	NA	
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	NA	BACTERIAL	Propionibacterium acnes  B69.7	B69.7	NA		Propionibacterium acnes	NA	No	Gi05283	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Medical, Human Microbiome Project (HMP)	1747	NA		NA	006259_GCAT	9340	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human skin	Huiying Li	NA		NA		Human skin	NA		NA		Homo sapiens	NA		NA		NA		NA	Skin	NA		NA	Anaerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Acne	Human skin, Host	NA		Nonmotile	NA	
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	NA	BACTERIAL	Propionibacterium acnes  B66.8	B66.8	NA		Propionibacterium acnes	NA	No	Gi05284	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Medical, Human Microbiome Project (HMP)	1747	NA		NA	006260_GCAT	9341	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human skin	Huiying Li	NA		NA		Human skin	NA		NA		Homo sapiens	NA		NA		NA		NA	Skin	NA		NA	Anaerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Acne	Host, Human skin	NA		Nonmotile	NA	
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	NA	BACTERIAL	Propionibacterium acnes  B59.9	B59.9	NA		Propionibacterium acnes	NA	No	Gi05285	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Human Microbiome Project (HMP), Medical	1747	NA		NA	006261_GCAT	9342	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human skin	Huiying Li	NA		NA		Human skin	NA		NA		Homo sapiens	NA		NA		NA		NA	Skin	NA		NA	Anaerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Acne	Human skin, Host	NA		Nonmotile	NA	
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	NA	BACTERIAL	Propionibacterium acnes  B58.8	B58.8	NA		Propionibacterium acnes	NA	No	Gi05286	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Medical, Human Microbiome Project (HMP)	1747	NA		NA	006262_GCAT	9343	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human skin	Huiying Li	NA		NA		Human skin	NA		NA		Homo sapiens	NA		NA		NA		NA	Skin	NA		NA	Anaerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Acne	Human skin, Host	NA		Nonmotile	NA	
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	NA	BACTERIAL	Propionibacterium acnes  B57.1	B57.1	NA		Propionibacterium acnes	NA	No	Gi05287	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Human Microbiome Project (HMP), Medical	1747	NA		NA	006263_GCAT	9344	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human skin	Huiying Li	NA		NA		Human skin	NA		NA		Homo sapiens	NA		NA		NA		NA	Skin	NA		NA	Anaerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Acne	Human skin, Host	NA		Nonmotile	NA	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	NA	BACTERIAL	Escherichia coli  MS 107-1	MS 107-1	NA		NA		Unknown	Gi05288	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Human Microbiome Project (HMP), Medical	562	NA		NA	006264_GCAT	9345	NA		270795	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human gastrointestinal tract	Ellen Li	NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles, Pairs	None	Gastrointestinal tract, Host	37	NA	Motile	NA	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	NA	BACTERIAL	Escherichia coli  MS 119-7	MS 119-7	NA		NA		Unknown	Gi05289	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Medical, Human Microbiome Project (HMP)	562	NA		NA	006265_GCAT	9346	NA		270795	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human gastrointestinal tract	Ellen Li	NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles, Pairs	None	Host, Gastrointestinal tract	37	NA	Motile	NA	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	NA	BACTERIAL	Escherichia coli  MS 124-1	MS 124-1	NA		NA		Unknown	Gi05290	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Human Microbiome Project (HMP), Medical	562	NA		NA	006266_GCAT	9347	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human gastrointestinal tract	Ellen Li	NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Pairs, Singles	None	Gastrointestinal tract, Host	37	NA	Motile	NA	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	NA	BACTERIAL	Escherichia coli  MS 145-7	MS 145-7	NA		NA		Unknown	Gi05291	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Human Microbiome Project (HMP), Medical	562	NA		NA	006267_GCAT	9348	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human gastrointestinal tract	Ellen Li	NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Pairs, Singles	None	Host, Gastrointestinal tract	37	NA	Motile	NA	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	NA	BACTERIAL	Escherichia coli  MS 79-2	MS 79-2	NA		NA		Unknown	Gi05292	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Human Microbiome Project (HMP), Medical	562	NA		NA	006268_GCAT	9349	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human gastrointestinal tract	Ellen Li	NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Pairs, Singles	None	Host, Gastrointestinal tract	37	NA	Motile	NA	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	NA	BACTERIAL	Escherichia coli  MS 85-1	MS 85-1	NA		NA		Unknown	Gi05293	NA	Genome	incomplete	Public	Washington Univ	NIH	WashU	hmpstrainswashu@watson.wustl.edu	NA		NA	 	Human Microbiome Project (HMP), Medical	562	NA		NA	006269_GCAT	9350	NA		NA	0	NA	Awaiting DNA	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Human gastrointestinal tract	Ellen Li	NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Pairs, Singles	None	Host, Gastrointestinal tract	37	NA	Motile	NA	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1172_AG4C2	HPKX_1172_AG4C2	NA		Helicobacter pylori HPKX_1172_AG4C2	NA		Gi05294	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Human Pathogen, Medical	673336	40527	NA		006270_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Host, Human stomach	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1259_NL0C1	HPKX_1259_NL0C1	NA		Helicobacter pylori HPKX_1259_NL0C1	NA		Gi05295	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Human Pathogen, Medical	673337	40529	NA		006271_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1259_NL0C2	HPKX_1259_NL0C2	NA		Helicobacter pylori HPKX_1259_NL0C2	NA		Gi05296	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673338	40531	NA		006272_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Host, Human stomach	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1259_NL4C1	HPKX_1259_NL4C1	NA		Helicobacter pylori HPKX_1259_NL4C1	NA		Gi05297	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673339	40533	NA		006273_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1259_NL4C2	HPKX_1259_NL4C2	NA		Helicobacter pylori HPKX_1259_NL4C2	NA		Gi05298	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673340	40535	NA		006274_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1379_NL0C1	HPKX_1379_NL0C1	NA		Helicobacter pylori HPKX_1379_NL0C1	NA		Gi05299	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Human Pathogen, Medical	673341	40537	NA		006275_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Ulcer, Gastric inflammation	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1379_NL0C2	HPKX_1379_NL0C2	NA		Helicobacter pylori HPKX_1379_NL0C2	NA		Gi05300	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673342	40539	NA		006276_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Ulcer, Gastric inflammation	Host, Human stomach	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1379_NL4C1	HPKX_1379_NL4C1	NA		Helicobacter pylori HPKX_1379_NL4C1	NA		Gi05301	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Human Pathogen, Medical	673343	40541	NA		006277_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_1379_NL4C2	HPKX_1379_NL4C2	NA		Helicobacter pylori HPKX_1379_NL4C2	NA		Gi05302	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673344	40543	NA		006278_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Host, Human stomach	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_345_AG4C1	HPKX_345_AG4C1	NA		Helicobacter pylori HPKX_345_AG4C1	NA		Gi05303	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673345	40545	NA		006279_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Ulcer, Gastric inflammation	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_345_AG4C2	HPKX_345_AG4C2	NA		Helicobacter pylori HPKX_345_AG4C2	NA		Gi05304	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673346	40547	NA		006280_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_345_NL0C1	HPKX_345_NL0C1	NA		Helicobacter pylori HPKX_345_NL0C1	NA		Gi05305	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673347	40549	NA		006281_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_345_NL0C2	HPKX_345_NL0C2	NA		Helicobacter pylori HPKX_345_NL0C2	NA		Gi05306	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673348	40551	NA		006282_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Ulcer, Gastric inflammation	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_438_AG0C2	HPKX_438_AG0C2	NA		Helicobacter pylori HPKX_438_AG0C2	NA		Gi05307	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Human Pathogen, Medical	673349	40553	NA		006283_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	BACTERIAL	Helicobacter pylori  HPKX_438_CA4C2	HPKX_438_CA4C2	NA		Helicobacter pylori HPKX_438_CA4C2	NA		Gi05308	NA	Genome	incomplete	Public	Washington Univ	NA		NA		NA		 	Medical, Human Pathogen	673350	40555	NA		006284_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Aerobe	Spiral-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastric inflammation, Ulcer	Human stomach, Host	37	NA	Motile	Pathogen	
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio mimicus	BACTERIAL	Vibrio alginolyticus  VM223	VM223	NA		Vibrio mimicus VM223	NA		Gi05309	NA	Genome	incomplete	Public	LANL	NA		NA		NA		 	NA	675820	40483	NA		006285_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		46	NA	USA	bivalve from S?o Paulo, Brazil	NA		NA	Brazil	NA	S?o Paulo, Brazil	-23.523322	-46.638565	NA		NA		NA		NA		NA		NA		NA		Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	None	Marine	20 - 30	NA	Motile	Bioluminescent	Heterotroph
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio mimicus	BACTERIAL	Vibrio alginolyticus  MB-451	MB-451	NA		Vibrio mimicus MB-451	NA		Gi05310	NA	Genome	incomplete	Public	LANL	NA		NA		NA		 	NA	675806	40509	NA		006286_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		46	NA	USA	diarrheal patient from Matlab, Bangladesh	NA		NA	Bangladesh	NA	Matlab, Bangladesh	23.34593	90.71093	NA		Homo sapiens	NA		NA		Patient with diarrhea	NA		Gastrointestinal tract	Feces	NA		Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	None	Marine	20 - 30	NA	Motile	Bioluminescent	Heterotroph
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae	BACTERIAL	Photobacterium damselae damselae  CIP 102761	CIP 102761	NA		Photobacterium damselae subsp. damselae CIP 102761	ATCC 33539	Yes	Gi05311	NA	Genome	incomplete	Public	LANL	NA		NA		NA		 	Environmental	675817	40485	NA		006287_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	Sanger	USA	Damselfish skin ulcers, Chromis punctipinnis, California	NA		NA	USA	NA		NA		NA		Chromis punctipinnis	NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Marine	NA		NA		
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio orientalis	BACTERIAL	Vibrio orientalis  CIP 102891	CIP 102891	NA		Vibrio orientalis CIP 102891	ATCC 33934	Yes	Gi05312	NA	Genome	incomplete	Public	LANL	NA		NA		NA		 	NA	675816	40487	NA		006288_GCAT	NA		NA		0	NA	In progress	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	seawater, Yellow Sea, China	NA		NA	China	NA		NA		NA		NA		NA		NA		NA		NA		NA		Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	None	Marine	20 - 30	NA	Motile	Bioluminescent	Heterotroph
